STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,EMXP,PRCP,TAVG,TMAX,TMIN
USC00083207,"FORT PIERCE, FL US",27.4419,-80.3508,7.6,2012-11-01,,20.6,42.2,18.7,23.9,13.6
USC00080414,"BAHIA HONDA STATE PARK, FL US",24.65512,-81.27998000000001,1.8,2012-11-01,,27.9,35.0,21.1,23.4,18.9
USC00081306,"CAPE FLORIDA, FL US",25.6719,-80.1566,1.8,2012-11-01,,26.9,46.8,21.8,26.3,17.4
US1FLLK0003,"GROVELAND 1.7 E, FL US",28.565,-81.824,34.1,2012-11-01,,0.8,0.8,,,
US1FLLK0005,"MOUNT PLYMOUTH 0.2 WSW, FL US",28.799,-81.535,27.4,2012-11-01,,1.0,1.5,,,
USR0000FMER,"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,9.1,2012-11-01,,,,17.7,22.8,12.6
US1FLCY0001,"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,3.0,2012-11-01,,4.3,9.9,,,
US1FLSL0013,"PORT ST. LUCIE 2.4 SSW, FL US",27.249421999999996,-80.371835,11.0,2012-11-01,,23.1,34.5,,,
US1FLBV0020,"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,6.1,2012-11-01,,6.9,12.3,,,
USC00084050,"HOLLYWOOD, FL US",26.0281,-80.1341,2.7,2012-11-01,,22.9,45.7,21.1,25.7,16.5
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.1828,-81.0483,9.4,2012-11-01,2.7,19.6,19.6,16.8,22.3,11.3
USC00087205,"PLANT CITY, FL US",28.020840000000003,-82.13855,33.5,2012-11-01,,0.8,1.3,18.1,24.5,11.7
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.495,-81.6936,7.9,2012-11-01,2.4,4.1,6.9,14.5,21.1,7.9
US1FLDV0033,"JACKSONVILLE 10.0 WSW, FL US",30.304370000000002,-81.82263,26.5,2012-11-01,,6.1,11.6,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06222,-81.75417,44.5,2012-11-01,3.0,0.3,0.3,18.3,24.3,12.4
USW00012832,"APALACHICOLA AIRPORT, FL US",29.73333,-85.03333,5.8,2012-11-01,2.7,4.6,6.9,15.3,21.5,9.0
US1FLLN0025,"TALLAHASSEE 3.5 N, FL US",30.508165999999996,-84.283457,29.9,2012-11-01,,7.4,11.5,,,
US1FLPK0034,"LAKELAND 6.9 SW, FL US",27.960835999999997,-81.99560799999999,32.9,2012-11-01,,1.0,2.0,,,
USC00086999,"PENSACOLA 7 NNE, FL US",30.5301,-87.198847,34.7,2012-11-01,,18.0,29.3,,,
USC00084731,"LAKE CITY 2 E, FL US",30.1852,-82.5941,59.4,2012-11-01,,2.0,3.8,14.2,20.9,7.6
US1FLPK0032,"LAKELAND 5.3 WNW, FL US",28.06498,-82.04227,34.1,2012-11-01,,0.8,0.8,,,
USC00085667,"MIAMI NWSFO, FL US",25.7553,-80.3836,4.3,2012-11-01,,4.1,13.8,21.1,25.9,16.3
